,Tag,Name,TH,BH,Level,League,"League (builder base)",Trophies,"Trophies (builder base)",Role,"Capital Level","Total Contribution","Troops donated","Troops received"
1,#L9R9Y9YCP,A-IRO9,17,9,134,"Titan League 25","Brass League I",0,2402,Co-leader,41,317173,1,434
2,#P0LJRRJYJ,Yuvi,15,10,151,"Witch League 17","Iron League III",114,2607,Elder,36,251358,87,82
3,#JQJJGGL0,DrMahadevFit,15,10,202,"Witch League 17","Iron League II",0,2890,Co-leader,45,395243,181,147
4,#9YYJUQLY9,mafia,14,8,205,"Witch League 16","Brass League I",26,2556,Co-leader,50,495573,292,47
5,#9PUJGJPVY,mafia,13,7,184,"Valkyrie League 15","Brass League II",114,2372,Member,41,305193,66,49
6,#GRJU0YP29,samil,13,8,141,"Valkyrie League 15","Iron League III",28,2659,Elder,63,834037,0,0
7,#YCPVPQJ9,"Shivansh mishra",14,9,189,"Valkyrie League 15","Iron League II",11,2804,Co-leader,30,197579,157,50
8,#PQ98P8GRG,"THE DEFENDER",14,9,179,"Valkyrie League 14","Iron League I",22,3078,Leader,45,392832,913,464
9,#PVQJUG2VG,☆♡Mr.X♡☆,14,9,175,"Valkyrie League 14","Steel League III",0,3392,Member,75,1337541,224,0
10,#LCC9Q08YP,Corbin,14,9,138,"Valkyrie League 14","Iron League III",0,2752,Member,45,387958,0,122
11,#PJCV82LC8,"ABDUL WARIS",14,9,172,"Valkyrie League 14","Iron League II",0,2877,Co-leader,21,108594,825,374
12,#P2L92Y02Q,"Lord Majid",13,7,126,"Wizard League 12","Brass League I",13,2440,Co-leader,22,118696,27,359
13,#PPVJG90QR,Anmol,13,8,157,"Wizard League 12","Iron League III",0,2790,Member,44,366222,47,0
14,#8VJJRQQGJ,Hackerjazz,13,9,136,"Wizard League 12","Brass League II",0,2353,Member,24,134055,47,124
15,#9YUV9G8UP,coolprem,13,8,165,"Wizard League 11","Iron League I",138,3007,Member,58,683566,1,0
16,#G8YL88Y8Q,CAHN,13,8,128,"Wizard League 11","Iron League II",0,2932,Member,22,113403,0,0
17,#GGVYQV9J2,reyen,12,7,108,"Archer League 8","Brass League II",0,2398,Member,13,64470,0,72
18,#GP90Q2YQP,Randi..Babar,11,5,85,"Archer League 7","Copper League V",187,1567,Member,39,287103,0,67
19,#GYPP9JCPJ,"Pemain Clash",10,4,59,"Barbarian League 5","Clay League II",80,882,Member,21,109989,0,0
20,#L9J929JVC,anmol,9,0,35,"Barbarian League 4",,0,0,Member,12,55508,0,0
21,#QPCRRQCLR,KABIL.G,12,8,117,Unranked,"Brass League II",0,2279,Member,40,291675,0,0
22,#QJR0GRJPL,SilentMilionair,13,7,138,Unranked,"Iron League III",0,2645,Member,53,554423,0,77
23,#2GJYUC0C9,attacker007,14,10,170,Unranked,"Iron League I",0,3191,Member,57,640949,0,92
