Tag,Name,"Date last war","Average TH","Attack: count","Attack: Average TH of targets","Attack: Average Stars","Attack: 3 Stars Count","Attack: % of 3 Stars","Attack: 2 Stars Count","Attack: % of 2 Stars","Attack: 1 Star Count","Attack: % of 1 Star","Attack: 0 Star Count","Attack: % of 0 Star","Attack: Miss attacks","Attack: % of Miss attacks","Defense: count","Defense: Average TH","Defense: Average Stars","Defense: 3 Stars Count","Defense: % of 3 Stars","Defense: 2 Stars Count","Defense: % of 2 Stars","Defense: 1 Star Count","Defense: % of 1 Star","Defense: 0 Star Count","Defense: % of 0 Star"
#GRJU0YP29,samil,2025-11-11,13.00,28,12.68,2.68,23,82.14,1,3.57,4,14.29,0,0.00,1,3.45,22,12.64,1.95,9,40.91,7,31.82,2,9.09,4,18.18
#YCPVPQJ9,"Shivansh mishra",2025-11-11,13.44,27,12.93,2.96,26,96.30,1,3.70,0,0.00,0,0.00,2,6.90,14,13.00,2.29,7,50.00,4,28.57,3,21.43,0,0.00
#JQJJGGL0,DrMahadevFit,2025-11-11,14.17,25,13.12,2.92,23,92.00,2,8.00,0,0.00,0,0.00,4,13.79,15,14.73,2.47,7,46.67,8,53.33,0,0.00,0,0.00
#P0LJRRJYJ,Yuvi,2025-11-11,13.56,20,12.70,2.70,15,75.00,4,20.00,1,5.00,0,0.00,5,20.00,12,13.08,2.42,6,50.00,5,41.67,1,8.33,0,0.00
#L9R9Y9YCP,A-IRO9,2025-11-11,17.00,20,13.60,2.60,13,65.00,6,30.00,1,5.00,0,0.00,7,25.93,14,14.00,2.50,10,71.43,1,7.14,3,21.43,0,0.00
#PVQJUG2VG,☆♡Mr.X♡☆,2025-11-11,13.38,19,12.74,2.21,8,42.11,8,42.11,2,10.53,1,5.26,6,24.00,14,12.93,2.14,6,42.86,5,35.71,2,14.29,1,7.14
#PQ98P8GRG,"THE DEFENDER",2025-11-11,13.67,17,12.53,2.12,6,35.29,7,41.18,4,23.53,0,0.00,0,0.00,11,12.27,1.36,1,9.09,3,27.27,6,54.55,1,9.09
#P2L92Y02Q,"Lord Majid",2025-11-11,12.53,15,11.07,2.53,10,66.67,3,20.00,2,13.33,0,0.00,8,34.78,16,11.88,2.19,8,50.00,4,25.00,3,18.75,1,6.25
#PJCV82LC8,"ABDUL WARIS",2025-11-11,13.08,15,11.80,2.40,8,53.33,5,33.33,2,13.33,0,0.00,2,11.76,14,12.43,1.64,2,14.29,7,50.00,3,21.43,2,14.29
#LCC9Q08YP,Corbin,2025-11-11,13.85,13,12.38,1.62,3,23.08,4,30.77,4,30.77,2,15.38,6,31.58,9,13.22,2.00,4,44.44,2,22.22,2,22.22,1,11.11
#QJR0GRJPL,SilentMilionair,2025-11-11,13.00,12,12.33,2.42,8,66.67,1,8.33,3,25.00,0,0.00,9,42.86,12,12.92,1.83,4,33.33,4,33.33,2,16.67,2,16.67
#9YYJUQLY9,mafia,2025-11-11,14.00,11,12.64,2.73,8,72.73,3,27.27,0,0.00,0,0.00,0,0.00,4,13.75,1.50,0,0.00,2,50.00,2,50.00,0,0.00
#8VJJRQQGJ,Hackerjazz,2025-11-11,13.00,9,11.44,2.67,7,77.78,1,11.11,1,11.11,0,0.00,0,0.00,7,10.86,1.43,2,28.57,1,14.29,2,28.57,2,28.57
#9PUJGJPVY,mafia,2025-11-11,13.00,2,13.00,2.00,0,0.00,2,100.00,0,0.00,0,0.00,0,0.00,3,13.33,1.33,0,0.00,1,33.33,2,66.67,0,0.00
#GGVYQV9J2,reyen,2025-11-11,12.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,100.00,2,11.00,2.00,1,50.00,0,0.00,1,50.00,0,0.00
#2GJYUC0C9,attacker007,2025-10-23,13.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,100.00,1,13.00,2.00,0,0.00,1,100.00,0,0.00,0,0.00
